repo_id,author,downloads,likes,last_modified,created_at,description,so101_mentioned,is_eval_like,task_pick_and_place,task_pour_liquids,task_laundry_folding,best_task,best_task_score,total_task_score,num_episodes,codebase_version,robot_type,video_files_size_in_mb,data_files_size_in_mb,author_has_eval
Elvinky/eval_so101_pick_place_bottle_v0_success,Elvinky,31,0,2026-02-11T04:05:53+00:00,2026-02-11T04:03:48+00:00,"This dataset was created using LeRobot. Dataset Structure meta/info.json: { ""codebase_version"": ""v3.0"", ""robot_type"": ""so_follower"", ""total_episodes"": 30, ""total_frames"": 14895, ""total_tasks"": 1, ""chunks_size"": 1000, ""data_files_size_in_mb"": 100, ""video_files_size_in_mb"": 200, ""fps"": 30, ""splits"": {",True,True,2,1,0,pick_and_place,2,3,30,v3.0,so_follower,200.0,100.0,True
Elvinky/eval_so101_pick_place_bottle_v0,Elvinky,27,0,2026-02-11T04:03:46+00:00,2026-02-11T04:00:42+00:00,"This dataset was created using LeRobot. Dataset Structure meta/info.json: { ""codebase_version"": ""v3.0"", ""robot_type"": ""so_follower"", ""total_episodes"": 67, ""total_frames"": 31113, ""total_tasks"": 1, ""chunks_size"": 1000, ""data_files_size_in_mb"": 100, ""video_files_size_in_mb"": 200, ""fps"": 30, ""splits"": {",True,True,2,1,0,pick_and_place,2,3,67,v3.0,so_follower,200.0,100.0,True
TzuShian/so101_chess_avermedia_20260210,TzuShian,51,0,2026-02-11T02:03:13+00:00,2026-02-10T09:46:41+00:00,"This dataset was created using LeRobot. Dataset Structure meta/info.json: { ""codebase_version"": ""v3.0"", ""robot_type"": ""so101_follower"", ""total_episodes"": 50, ""total_frames"": 52124, ""total_tasks"": 1, ""chunks_size"": 1000, ""data_files_size_in_mb"": 100, ""video_files_size_in_mb"": 200, ""fps"": 30, ""splits""",True,False,0,0,0,pick_and_place,0,0,50,v3.0,so101_follower,200.0,100.0,False
joanfox/clean_table_random_v7,joanfox,58,0,2026-02-10T21:57:52+00:00,2026-02-10T21:57:39+00:00,"This dataset was created using LeRobot. Dataset Structure meta/info.json: { ""codebase_version"": ""v3.0"", ""robot_type"": ""so_follower"", ""total_episodes"": 20, ""total_frames"": 7892, ""total_tasks"": 1, ""chunks_size"": 1000, ""data_files_size_in_mb"": 100, ""video_files_size_in_mb"": 200, ""fps"": 30, ""splits"": {",False,False,0,0,0,pick_and_place,0,0,20,v3.0,so_follower,200.0,100.0,False
Marco10pez/Marcos_demoV3,Marco10pez,39,0,2026-02-10T21:27:37+00:00,2026-02-10T21:26:56+00:00,"This dataset was created using LeRobot. Dataset Structure meta/info.json: { ""codebase_version"": ""v3.0"", ""robot_type"": ""bi_so_follower"", ""total_episodes"": 30, ""total_frames"": 31295, ""total_tasks"": 1, ""chunks_size"": 1000, ""data_files_size_in_mb"": 100, ""video_files_size_in_mb"": 200, ""fps"": 30, ""splits""",False,False,0,0,0,pick_and_place,0,0,30,v3.0,bi_so_follower,200.0,100.0,True
staudi25/lego_pickup_merged,staudi25,34,0,2026-02-10T20:40:44+00:00,2026-02-10T20:40:35+00:00,"This dataset was created using LeRobot. Dataset Structure meta/info.json: { ""codebase_version"": ""v3.0"", ""robot_type"": ""so_follower"", ""total_episodes"": 100, ""total_frames"": 44549, ""total_tasks"": 1, ""chunks_size"": 1000, ""data_files_size_in_mb"": 100, ""video_files_size_in_mb"": 200, ""fps"": 30, ""splits"":",False,False,1,0,0,pick_and_place,1,1,100,v3.0,so_follower,200.0,100.0,True
staudi25/lego_pickup_50_afternoon_shades_down,staudi25,40,0,2026-02-10T20:29:25+00:00,2026-02-10T20:27:56+00:00,"This dataset was created using LeRobot. Dataset Structure meta/info.json: { ""codebase_version"": ""v3.0"", ""robot_type"": ""so_follower"", ""total_episodes"": 50, ""total_frames"": 22189, ""total_tasks"": 1, ""chunks_size"": 1000, ""data_files_size_in_mb"": 100, ""video_files_size_in_mb"": 200, ""fps"": 30, ""splits"": {",False,False,1,0,0,pick_and_place,1,1,50,v3.0,so_follower,200.0,100.0,True
staudi25/lego_pickup_50_afternoon,staudi25,41,0,2026-02-10T18:26:20+00:00,2026-02-10T18:24:51+00:00,"This dataset was created using LeRobot. Dataset Structure meta/info.json: { ""codebase_version"": ""v3.0"", ""robot_type"": ""so_follower"", ""total_episodes"": 50, ""total_frames"": 22360, ""total_tasks"": 1, ""chunks_size"": 1000, ""data_files_size_in_mb"": 100, ""video_files_size_in_mb"": 200, ""fps"": 30, ""splits"": {",False,False,1,0,0,pick_and_place,1,1,50,v3.0,so_follower,200.0,100.0,True
miladherfeh/record-feb-10-python-2,miladherfeh,37,0,2026-02-10T16:59:45+00:00,2026-02-10T16:59:38+00:00,"This dataset was created using LeRobot. Dataset Structure meta/info.json: { ""codebase_version"": ""v3.0"", ""robot_type"": ""so_follower"", ""total_episodes"": 10, ""total_frames"": 8462, ""total_tasks"": 1, ""chunks_size"": 1000, ""data_files_size_in_mb"": 100, ""video_files_size_in_mb"": 200, ""fps"": 30, ""splits"": {",False,False,0,0,0,pick_and_place,0,0,10,v3.0,so_follower,200.0,100.0,False
jeffkwok6/record-blackcube4,jeffkwok6,29,0,2026-02-10T15:48:55+00:00,2026-02-10T15:48:36+00:00,"This dataset was created using LeRobot. Dataset Structure meta/info.json: { ""codebase_version"": ""v3.0"", ""robot_type"": ""so101_follower"", ""total_episodes"": 20, ""total_frames"": 11896, ""total_tasks"": 1, ""chunks_size"": 1000, ""data_files_size_in_mb"": 100, ""video_files_size_in_mb"": 200, ""fps"": 30, ""splits""",True,False,1,0,0,pick_and_place,1,1,20,v3.0,so101_follower,200.0,100.0,False
