repo_id,author,downloads,likes,last_modified,created_at,is_eval_like,task_pick_and_place,task_pour_liquids,task_laundry_folding,best_task,best_task_score,total_task_score,codebase_version,robot_type,total_episodes,total_frames,total_tasks,total_videos,total_chunks,chunks_size,fps,data_files_size_in_mb,video_files_size_in_mb
GonzoBop/SO-101-ACT-pick-and-place,GonzoBop,81,0,2026-02-13T10:16:08+00:00,2026-02-11T14:10:12+00:00,False,2,0,0,pick_and_place,2,2,v3.0,so_follower,10,8457,1,,,1000,30,100,200
GonzoBop/SO-101-ACT-test0-20260125-152006,GonzoBop,25,0,2026-01-25T15:03:55+00:00,2026-01-25T15:01:12+00:00,False,0,0,0,pick_and_place,0,0,v3.0,so_follower,50,30189,1,,,1000,30,100,200
GonzoBop/SO-101-ACT-new,GonzoBop,34,0,2026-01-17T18:20:09+00:00,2026-01-17T18:16:36+00:00,False,0,0,0,pick_and_place,0,0,v3.0,so_follower,10,11566,1,,,1000,30,100,200
Gopisainath1718/record-test,Gopisainath1718,41,0,2025-12-17T21:44:12+00:00,2025-12-17T21:13:47+00:00,False,0,0,0,pick_and_place,0,0,v3.0,so101_follower,25,9444,1,,,1000,30,100,200
Greynar/eval_so100,Greynar,42,0,2026-01-27T10:51:32+00:00,2026-01-27T10:18:34+00:00,True,0,0,0,pick_and_place,0,0,v3.0,so100_follower,11,6404,1,,,1000,30,100,200
Greynar/record-test,Greynar,116,0,2026-01-22T13:52:44+00:00,2026-01-22T13:22:17+00:00,False,0,0,0,pick_and_place,0,0,v3.0,so101_follower,50,9668,1,,,1000,30,100,200
Gukchan/so101_test_0113_wrist_only_img_change,Gukchan,34,0,2026-01-15T09:26:42+00:00,2026-01-15T09:24:48+00:00,False,0,0,0,pick_and_place,0,0,v3.0,so101_follower,50,12864,1,,,1000,30,100,200
Gukchan/so101_test_0113_wrist_only,Gukchan,18,0,2026-01-14T09:09:38+00:00,2026-01-14T09:03:21+00:00,False,0,0,0,pick_and_place,0,0,v3.0,so101_follower,50,12864,1,,,1000,30,100,200
Gukchan/pick_redcube_and_place_greenpaper,Gukchan,5,0,2026-01-11T10:09:35+00:00,2026-01-11T10:09:22+00:00,False,3,0,0,pick_and_place,3,3,v3.0,so101_follower,50,24601,1,,,1000,30,100,200
Gukchan/converted_v30_with_video,Gukchan,4,0,2026-01-08T07:40:15+00:00,2026-01-08T06:48:16+00:00,False,0,0,0,pick_and_place,0,0,v3.0,so101_follower,50,20647,1,,,1000,30,100,200
